Bank of Thailand
EC_EI_028_S2 : Tourism Indicators
(Unit: as stated)
Last Updated : 30 Sep 2025 14:30
Retrieved date : 29 Oct 2025 18:06
,,AUG 2024 r,JUL 2024 r,JUN 2024 r,MAY 2024 r,APR 2024 r,MAR 2024 r,FEB 2024 r,JAN 2024 r,DEC 2023 ,NOV 2023 ,OCT 2023 ,SEP 2023 ,AUG 2023 ,JUL 2023 ,JUN 2023 ,MAY 2023 ,APR 2023 ,MAR 2023 ,FEB 2023 ,JAN 2023 ,DEC 2022 ,NOV 2022 ,OCT 2022 ,SEP 2022 ,AUG 2022 ,JUL 2022 ,JUN 2022 ,MAY 2022 ,APR 2022 ,MAR 2022 ,FEB 2022 ,JAN 2022 ,DEC 2021 ,NOV 2021 ,OCT 2021 ,SEP 2021 ,AUG 2021 ,JUL 2021 ,JUN 2021 ,MAY 2021 ,APR 2021 ,MAR 2021 ,FEB 2021 ,JAN 2021 ,DEC 2020 ,NOV 2020 ,OCT 2020 ,SEP 2020 ,AUG 2020 ,JUL 2020 ,JUN 2020 ,MAY 2020 ,APR 2020 ,MAR 2020 ,FEB 2020 ,JAN 2020 ,DEC 2019 ,NOV 2019 ,OCT 2019 ,SEP 2019 ,AUG 2019 ,JUL 2019 ,JUN 2019 ,MAY 2019 ,APR 2019 ,MAR 2019 ,FEB 2019 ,JAN 2019 ,DEC 2018 ,NOV 2018 ,OCT 2018 ,SEP 2018 ,AUG 2018 ,JUL 2018 ,JUN 2018 ,MAY 2018 ,APR 2018 ,MAR 2018 ,FEB 2018 ,JAN 2018 ,DEC 2017 ,NOV 2017 ,OCT 2017 ,SEP 2017 ,AUG 2017 ,JUL 2017 ,JUN 2017 ,MAY 2017 ,APR 2017 ,MAR 2017 ,FEB 2017 ,JAN 2017 ,DEC 2016 ,NOV 2016 ,OCT 2016 ,SEP 2016 ,AUG 2016 ,JUL 2016 ,JUN 2016 ,MAY 2016 ,APR 2016 ,MAR 2016 ,FEB 2016 ,JAN 2016 ,DEC 2015 ,NOV 2015 ,OCT 2015 ,SEP 2015 ,AUG 2015 ,JUL 2015 ,JUN 2015 ,MAY 2015 ,APR 2015 ,MAR 2015 ,FEB 2015 ,JAN 2015 
1,1.  Number of foreign tourists visiting Thailand (in thousands) ,2963.15,3103.42,2740.37,2633.46,2757.13,2982.72,3352.30,3035.30,3261.26,2637.08,2197.02,2130.60,2468.04,2490.64,2241.20,2013.85,2182.10,2269.73,2113.55,2144.95,2241.18,1721.49,1467.37,1259.27,1188.22,1134.93,768.97,508.18,287.51,208.10,151.79,128.22,230.50,91.26,20.27,12.24,15.11,18.06,5.69,6.05,8.53,6.74,5.74,7.69,6.56,3.07,1.20,0.00,0.00,0.00,0.00,0.00,0.00,819.43,2061.99,3810.16,3947.34,3386.37,3074.10,2890.04,3472.66,3342.75,3056.70,2736.60,3216.93,3478.69,3600.92,3713.17,3835.51,3171.00,2704.00,2636.12,3229.03,3177.09,3013.30,2737.83,3096.07,3494.65,3552.12,3531.48,3571.66,3039.57,2725.94,2600.28,3188.15,3099.41,2731.07,2600.62,2853.29,3018.41,2966.52,3197.05,3060.74,2452.46,2252.78,2416.82,2883.59,2949.10,2423.00,2459.09,2627.81,2927.23,3080.54,2996.44,3024.29,2566.08,2245.84,2044.66,2589.65,2641.51,2269.52,2301.63,2406.73,2555.36,2664.22,2613.70
2,2.  Accommodation occupancy rate (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,   Total,69.06,69.75,68.00,69.44,74.16,71.37,74.13,74.64,75.00,70.44,65.99,64.51,66.70,65.92,64.51,64.43,69.41,66.21,66.84,68.00,67.34,60.76,52.62,49.66,47.83,47.56,41.94,40.05,40.18,36.91,36.29,36.25,36.27,24.19,17.03,11.06,6.60,6.77,5.25,4.70,14.06,22.38,18.17,13.16,30.25,33.57,29.86,28.02,27.73,26.43,12.93,3.90,2.53,23.34,57.06,76.51,75.97,70.20,65.96,62.65,62.77,65.27,63.72,66.60,73.86,74.27,78.71,80.94,77.91,71.72,65.31,63.69,66.01,65.17,65.99,68.72,76.40,75.49,77.95,79.56,76.49,70.00,63.61,63.37,65.15,64.15,63.60,66.05,72.57,71.45,73.71,76.27,73.28,66.75,60.89,60.43,62.54,62.74,62.63,64.97,71.43,70.59,73.12,74.51,73.04,66.89,63.42,57.13,58.58,59.71,59.71,61.69,68.29,68.31,71.99,72.70
4,   Central (including Bangkok),71.99,72.65,70.26,71.70,76.25,73.63,75.72,76.21,67.40,61.42,54.34,67.15,71.22,70.44,67.52,66.67,70.79,68.19,66.76,68.51,29.47,24.06,19.95,51.92,50.06,49.90,46.58,43.51,43.14,38.15,35.44,34.71,62.14,54.97,48.81,10.47,3.82,3.89,6.13,6.13,14.58,19.78,14.45,7.80,66.34,63.04,59.35,28.33,28.09,25.72,16.73,5.78,3.88,20.83,56.01,80.91,78.76,75.14,69.97,68.83,70.27,71.36,69.59,74.44,80.42,78.31,82.54,84.63,81.13,76.31,69.90,69.04,73.00,71.41,70.52,75.64,81.64,78.58,81.24,83.09,80.09,75.26,68.82,69.36,72.46,70.66,67.77,72.34,76.58,73.38,74.95,79.16,76.73,72.05,65.95,66.08,69.57,69.68,67.99,72.21,76.53,74.36,76.31,78.08,73.35,69.56,66.18,58.85,61.95,62.55,61.19,64.46,67.85,67.15,69.64,71.93
5,   South,72.17,72.20,72.97,74.25,79.90,76.91,76.53,74.88,74.00,69.71,66.66,65.40,66.51,66.54,67.63,69.18,76.79,71.80,70.53,67.61,63.29,57.73,48.15,46.74,45.10,44.14,33.13,32.49,31.33,24.96,22.72,23.72,20.45,9.34,6.93,4.11,1.67,1.80,1.72,1.23,14.45,14.14,9.24,6.64,15.29,17.03,16.50,13.68,12.89,13.15,6.00,1.24,1.82,22.91,55.79,73.38,75.07,65.88,62.73,60.96,59.37,63.31,64.82,66.70,80.09,79.45,79.77,79.22,77.26,68.51,61.88,62.63,63.88,63.33,68.57,69.51,81.32,80.45,80.21,78.63,75.48,66.53,61.29,62.66,63.32,62.49,66.56,67.05,78.29,76.96,78.22,76.74,73.23,63.78,58.94,60.76,61.26,60.71,64.73,66.08,76.83,76.21,78.36,78.01,73.92,64.08,62.04,57.52,57.59,58.14,62.13,62.95,74.53,73.78,77.77,75.86
6,   North,56.99,59.03,56.57,58.31,61.08,58.75,72.07,75.95,77.38,71.26,62.57,57.39,56.84,55.73,54.52,53.83,57.67,55.75,65.85,71.61,72.99,65.79,52.33,47.80,45.59,45.48,42.67,40.32,43.60,45.64,53.72,51.52,50.33,56.07,46.13,11.52,6.44,6.63,7.16,8.04,13.81,24.29,23.78,18.92,50.33,56.07,46.13,36.36,35.79,36.42,15.47,4.41,1.38,23.19,55.23,73.02,77.06,69.33,59.52,50.84,51.26,54.43,54.48,55.84,58.22,58.84,73.45,79.62,77.17,69.38,57.75,53.06,53.29,54.00,53.44,54.60,62.15,65.88,71.97,77.80,75.60,66.38,55.86,51.23,51.59,52.55,51.17,52.32,59.58,63.28,68.66,74.44,71.30,62.44,53.37,47.55,49.44,51.45,49.25,49.03,56.79,59.91,64.79,68.55,66.67,60.05,53.92,44.45,45.26,47.93,45.18,46.46,53.95,56.89,63.19,66.49
7,   Northeast,63.03,63.96,58.93,60.48,65.71,62.26,63.59,65.96,68.71,63.39,63.02,60.02,60.51,58.04,56.23,55.89,59.05,56.36,58.67,62.23,63.40,53.11,51.70,50.09,48.39,49.20,44.41,44.80,46.49,40.57,40.43,42.65,45.17,26.52,15.56,7.64,4.14,4.37,5.91,4.51,14.98,36.58,30.94,23.40,49.65,49.19,45.90,39.26,38.47,33.39,11.50,2.14,0.07,14.78,60.66,68.11,65.10,61.71,65.76,56.01,54.67,58.55,56.86,57.02,60.73,63.15,66.33,71.46,66.70,63.38,64.38,57.25,58.10,57.68,56.05,56.10,59.48,61.72,65.62,69.06,64.51,60.86,57.12,54.98,55.88,55.29,53.85,53.99,56.92,59.10,62.93,64.69,61.43,58.04,54.61,52.52,53.40,53.62,51.80,52.21,54.47,56.24,59.46,60.45,59.31,56.42,56.06,50.33,51.45,51.40,48.62,48.75,52.71,54.62,58.06,58.39
8,3.  3-month advanced booking rate (percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,   Total,20.49,20.20,21.97,23.11,24.57,27.29,35.07,37.42,43.52,37.06,27.27,21.72,23.40,18.99,17.65,17.45,21.89,26.73,29.93,32.99,32.38,33.70,24.90,16.98,16.18,14.64,12.68,11.93,12.86,15.85,13.00,13.73,10.40,8.75,2.15,0.16,0.23,0.37,0.12,0.00,0.00,2.24,3.26,1.65,1.51,10.75,15.09,12.60,10.92,10.91,0.00,0.00,0.00,0.00,1.52,5.49,28.82,28.30,32.55,25.48,23.60,25.24,27.43,26.24,25.51,31.90,34.49,33.84,32.73,32.39,39.49,27.98,26.05,26.01,32.81,34.02,31.91,40.13,35.74,36.53,29.85,29.46,30.29,28.80,24.39,26.32,26.05,27.49,31.62,34.45,31.36,33.20,26.98,24.88,24.45,23.30,22.30,23.10,24.20,30.00,30.80,33.00,31.60,34.30,16.75,13.35,13.26,11.61,7.19,7.26,8.97,9.50,9.26,10.41,12.50,16.09
10,   Central (including Bangkok),36.89,31.42,33.80,34.68,35.58,36.76,47.45,41.55,40.43,39.56,31.96,27.48,30.78,26.09,25.25,22.45,31.06,33.22,34.53,32.34,29.33,25.57,23.74,14.08,12.57,10.58,8.54,9.43,9.61,12.48,7.62,7.28,6.23,4.07,1.99,0.00,0.00,0.00,0.00,0.00,0.00,2.38,3.51,2.01,1.95,12.87,16.52,14.14,11.14,14.19,0.00,0.00,0.00,0.00,1.51,5.58,34.19,34.98,34.40,62.69,38.27,37.15,33.23,14.51,36.18,39.06,37.67,37.85,35.69,35.20,43.76,31.70,28.96,28.22,38.72,40.88,38.56,46.43,39.66,39.77,32.36,32.40,35.60,34.80,30.80,32.73,31.30,34.04,36.50,39.13,33.64,37.88,30.26,28.48,28.99,27.20,28.30,29.10,29.10,36.60,37.40,38.20,35.50,39.20,21.51,20.18,19.38,15.38,13.95,11.43,9.59,13.45,11.49,12.79,20.52,21.46
